V1,V2,V3
-27.9666666666667,67.4666666666667,-298
-27.9,67.4666666666667,-305
-27.8333333333333,67.4666666666667,-311
-27.7666666666667,67.4666666666667,-310
-27.7,67.4666666666667,-304
-27.6333333333333,67.4666666666667,-301
-27.5666666666667,67.4666666666667,-301
-27.5,67.4666666666667,-300
-27.4333333333333,67.4666666666667,-299
-27.3666666666667,67.4666666666667,-298
-27.3,67.4666666666667,-297
-27.2333333333333,67.4666666666667,-298
-27.1666666666667,67.4666666666667,-294
-27.1,67.4666666666667,-298
-27.0333333333333,67.4666666666667,-300
-26.9666666666667,67.4666666666667,-305
-26.9,67.4666666666667,-309
-26.8333333333333,67.4666666666667,-304
-26.7666666666667,67.4666666666667,-300
-26.7,67.4666666666667,-299
-26.6333333333333,67.4666666666667,-303
-26.5666666666667,67.4666666666667,-316
-26.5,67.4666666666667,-336
-26.4333333333333,67.4666666666667,-359
-26.3666666666667,67.4666666666667,-393
-26.3,67.4666666666667,-531
-26.2333333333333,67.4666666666667,-703
-26.1666666666667,67.4666666666667,-745
-26.1,67.4666666666667,-653
-26.0333333333333,67.4666666666667,-683
-25.9666666666667,67.4666666666667,-699
-25.9,67.4666666666667,-718
-25.8333333333333,67.4666666666667,-751
-25.7666666666667,67.4666666666667,-799
-25.7,67.4666666666667,-853
-25.6333333333333,67.4666666666667,-898
-25.5666666666667,67.4666666666667,-1012
-25.5,67.4666666666667,-1139
-25.4333333333333,67.4666666666667,-1159
-25.3666666666667,67.4666666666667,-1181
-25.3,67.4666666666667,-1289
-25.2333333333333,67.4666666666667,-1317
-25.1666666666667,67.4666666666667,-1393
-25.1,67.4666666666667,-1425
-25.0333333333333,67.4666666666667,-1427
-24.9666666666667,67.4666666666667,-1400
-24.9,67.4666666666667,-1322
-24.8333333333333,67.4666666666667,-1257
-24.7666666666667,67.4666666666667,-1213
-24.7,67.4666666666667,-1165
-24.6333333333333,67.4666666666667,-1107
-24.5666666666667,67.4666666666667,-1054
-24.5,67.4666666666667,-1042
-24.4333333333333,67.4666666666667,-1058
-24.3666666666667,67.4666666666667,-1048
-24.3,67.4666666666667,-994
-24.2333333333333,67.4666666666667,-960
-24.1666666666667,67.4666666666667,-945
-24.1,67.4666666666667,-918
-24.0333333333333,67.4666666666667,-881
-23.9666666666667,67.4666666666667,-838
-23.9,67.4666666666667,-798
-23.8333333333333,67.4666666666667,-763
-23.7666666666667,67.4666666666667,-731
-23.7,67.4666666666667,-701
-23.6333333333333,67.4666666666667,-673
-23.5666666666667,67.4666666666667,-647
-23.5,67.4666666666667,-625
-23.4333333333333,67.4666666666667,-608
-23.3666666666667,67.4666666666667,-600
-23.3,67.4666666666667,-599
-23.2333333333333,67.4666666666667,-580
-23.1666666666667,67.4666666666667,-514
-23.1,67.4666666666667,-499
-23.0333333333333,67.4666666666667,-498
-22.9666666666667,67.4666666666667,-491
-22.9,67.4666666666667,-488
-22.8333333333333,67.4666666666667,-486
-22.7666666666667,67.4666666666667,-484
-22.7,67.4666666666667,-472
-22.6333333333333,67.4666666666667,-472
-22.5666666666667,67.4666666666667,-466
-22.5,67.4666666666667,-463
-22.4333333333333,67.4666666666667,-458
